idade,renda,propriedadeCasa,tempoEmpregado,intensaoInvestimento,grauInvestimento,valorInvestimento,taxaJuros,situacaoInvestimento,retornoInvestimento,jaInvesteOunao,tempoInvestimento
22,51000,PRÓPRIO,0.0,RISCO,A,16000,7.9,0,0.31,N,3
25,19200,ALUGUEL,3.0,CONSOLIDAÇÃO DE DÍVIDAS,B,6150,11.46,1,0.32,N,3
24,35713,ALUGUEL,1.0,MÉDICO,C,6150,11.03,0,0.17,Y,3
24,45000,HIPOTECA,0.0,RISCO,C,10625,14.27,1,0.24,Y,2
24,77385,ALUGUEL,5.0,CONSOLIDAÇÃO DE DÍVIDAS,A,6150,5.99,0,0.08,N,4
23,51000,HIPOTECA,5.0,CONSOLIDAÇÃO DE DÍVIDAS,A,4000,6.03,0,0.08,N,2
23,51000,HIPOTECA,7.0,RISCO,A,10000,6.03,0,0.2,N,3
23,19200,ALUGUEL,1.0,MÉDICO,G,6200,19.82,1,0.32,N,3
26,51000,HIPOTECA,11.0,MELHORIA DE CASA,B,9000,9.99,0,0.18,N,3
26,20000,ALUGUEL,9.0,EDUCAÇÃO,A,6200,5.99,1,0.31,N,4
23,51000,PRÓPRIO,7.0,PERSONAL,A,6000,5.42,0,0.12,N,4
24,26000,ALUGUEL,2.0,MELHORIA DE CASA,D,6200,14.11,1,0.24,N,4
22,51000,HIPOTECA,3.0,CONSOLIDAÇÃO DE DÍVIDAS,A,10000,8.49,0,0.2,N,3
22,29004,ALUGUEL,6.0,CONSOLIDAÇÃO DE DÍVIDAS,C,6200,15.23,0,0.21,Y,4
22,30000,ALUGUEL,3.0,EDUCAÇÃO,D,6200,,0,0.21,Y,3
21,51000,HIPOTECA,5.0,EDUCAÇÃO,B,13000,,0,0.25,N,3
26,39996,ALUGUEL,2.0,CONSOLIDAÇÃO DE DÍVIDAS,C,6200,13.79,0,0.16,N,2
22,40000,ALUGUEL,2.0,EDUCAÇÃO,B,6200,12.69,0,0.15,N,3
23,42500,ALUGUEL,1.0,PERSONAL,C,6200,13.92,0,0.15,N,2
22,45000,ALUGUEL,7.0,EDUCAÇÃO,C,6200,13.79,0,0.14,N,3
23,51000,HIPOTECA,2.0,PERSONAL,A,8000,7.49,0,0.16,N,3
26,51000,HIPOTECA,2.0,MÉDICO,A,4000,5.99,0,0.08,N,4
22,46200,ALUGUEL,5.0,EDUCAÇÃO,B,6200,12.42,0,0.13,N,3
25,50606,ALUGUEL,3.0,MÉDICO,A,6200,,0,0.12,N,4
26,51000,HIPOTECA,10.0,MÉDICO,A,15825,6.99,0,0.31,N,3
25,51000,HIPOTECA,6.0,EDUCAÇÃO,C,3000,13.99,0,0.06,N,2
23,51000,HIPOTECA,2.0,CONSOLIDAÇÃO DE DÍVIDAS,A,2400,7.49,0,0.05,N,3
22,46000,ALUGUEL,1.0,CONSOLIDAÇÃO DE DÍVIDAS,D,6200,,1,0.13,N,4
23,56000,ALUGUEL,4.0,PERSONAL,A,6200,8.49,0,0.11,N,2
23,60000,ALUGUEL,1.0,CONSOLIDAÇÃO DE DÍVIDAS,B,6200,10.65,0,0.1,N,3
25,51000,HIPOTECA,0.0,PERSONAL,A,4200,7.29,0,0.08,N,2
26,51000,HIPOTECA,3.0,CONSOLIDAÇÃO DE DÍVIDAS,A,12000,7.29,0,0.24,N,4
23,45000,HIPOTECA,6.0,MÉDICO,B,5000,10.74,1,0.11,N,2
23,65000,ALUGUEL,8.0,PERSONAL,A,6200,,0,0.1,N,2
25,51000,HIPOTECA,6.0,PERSONAL,E,16750,16.4,0,0.33,N,4
24,65000,ALUGUEL,0.0,RISCO,A,6200,8.9,0,0.1,N,2
26,69000,ALUGUEL,7.0,EDUCAÇÃO,A,6200,7.88,0,0.09,N,3
22,51000,HIPOTECA,6.0,MÉDICO,A,6000,5.79,0,0.12,N,2
26,51000,HIPOTECA,2.0,CONSOLIDAÇÃO DE DÍVIDAS,A,12000,6.17,0,0.24,N,4
22,72000,ALUGUEL,4.0,PERSONAL,A,6200,5.99,0,0.09,N,2
25,51000,HIPOTECA,7.0,CONSOLIDAÇÃO DE DÍVIDAS,C,7600,12.23,0,0.15,N,3
23,45000,ALUGUEL,0.0,RISCO,C,6225,11.54,0,0.14,Y,4
21,63250,ALUGUEL,2.0,PERSONAL,B,6225,10.99,0,0.1,N,4
22,51000,HIPOTECA,6.0,PERSONAL,B,7000,11.12,0,0.14,N,3
23,51000,HIPOTECA,7.0,MÉDICO,A,10000,7.14,0,0.2,N,2
23,14898,ALUGUEL,,RISCO,C,6250,15.27,1,0.42,N,2
22,16000,ALUGUEL,,RISCO,B,6250,9.91,1,0.39,N,2
24,51000,PRÓPRIO,8.0,MELHORIA DE CASA,A,9000,7.14,0,0.18,N,3
22,19200,ALUGUEL,2.0,CONSOLIDAÇÃO DE DÍVIDAS,A,6250,7.51,1,0.33,N,3
25,19200,ALUGUEL,4.0,EDUCAÇÃO,D,6250,15.31,1,0.33,Y,2
24,51000,PRÓPRIO,6.0,RISCO,B,6000,10.75,0,0.12,N,2
23,19250,ALUGUEL,1.0,MELHORIA DE CASA,E,6250,16.82,1,0.32,Y,4
22,51000,HIPOTECA,3.0,RISCO,C,13000,13.48,0,0.25,Y,3
22,20000,ALUGUEL,3.0,EDUCAÇÃO,D,6250,,1,0.31,Y,3
21,21000,ALUGUEL,2.0,EDUCAÇÃO,C,6250,13.85,0,0.3,N,3
21,23000,ALUGUEL,5.0,PERSONAL,C,6250,13.48,0,0.27,Y,3
22,23000,ALUGUEL,6.0,MÉDICO,C,6250,12.73,0,0.27,N,2
25,51000,HIPOTECA,5.0,CONSOLIDAÇÃO DE DÍVIDAS,A,7000,7.88,0,0.14,N,4
23,51000,HIPOTECA,3.0,PERSONAL,C,16000,13.11,0,0.31,Y,3
25,24000,ALUGUEL,3.0,CONSOLIDAÇÃO DE DÍVIDAS,C,6250,13.72,0,0.26,Y,3
23,24000,ALUGUEL,0.0,EDUCAÇÃO,B,6250,12.53,0,0.26,N,3
24,26000,ALUGUEL,8.0,MÉDICO,A,6250,6.91,0,0.24,N,4
21,51000,HIPOTECA,5.0,PERSONAL,A,6000,7.88,0,0.12,N,2
22,27000,ALUGUEL,3.0,MÉDICO,D,6250,15.99,1,0.23,Y,4
22,55000,ALUGUEL,3.0,RISCO,A,7000,6.91,0,0.13,N,4
24,51000,HIPOTECA,5.0,MELHORIA DE CASA,A,3600,7.14,0,0.07,N,2
24,55000,ALUGUEL,1.0,MÉDICO,A,7000,7.88,0,0.13,N,4
22,51000,HIPOTECA,3.0,EDUCAÇÃO,B,15200,10.99,0,0.3,N,4
24,51000,PRÓPRIO,9.0,RISCO,D,10000,15.31,0,0.2,Y,2
26,51000,HIPOTECA,3.0,MELHORIA DE CASA,A,10000,7.74,0,0.2,N,3
22,56000,ALUGUEL,0.0,CONSOLIDAÇÃO DE DÍVIDAS,B,7000,11.36,0,0.13,N,2
21,45000,HIPOTECA,3.0,CONSOLIDAÇÃO DE DÍVIDAS,D,8000,15.31,1,0.18,Y,3
24,56000,ALUGUEL,7.0,RISCO,A,7000,8.59,0,0.13,N,3
24,51000,HIPOTECA,4.0,MELHORIA DE CASA,A,8500,8.94,0,0.17,N,3
26,56000,ALUGUEL,4.0,PERSONAL,A,7000,9.07,0,0.13,N,3
25,50000,ALUGUEL,2.0,MÉDICO,E,7000,15.57,1,0.14,N,3
25,56004,ALUGUEL,3.0,MÉDICO,C,7000,14.22,0,0.12,N,4
23,57960,ALUGUEL,0.0,PERSONAL,C,7000,13.04,0,0.12,Y,4
23,52000,ALUGUEL,3.0,MÉDICO,C,7000,13.85,1,0.13,N,4
24,51000,HIPOTECA,5.0,EDUCAÇÃO,B,8000,10.96,0,0.16,N,3
26,60000,ALUGUEL,9.0,CONSOLIDAÇÃO DE DÍVIDAS,C,7000,13.49,0,0.12,N,2
24,51024,HIPOTECA,8.0,MELHORIA DE CASA,C,2000,12.99,0,0.04,Y,4
23,51036,HIPOTECA,7.0,EDUCAÇÃO,C,15000,13.16,0,0.29,N,4
22,60000,ALUGUEL,1.0,PERSONAL,C,7000,14.65,0,0.12,N,2
23,60000,ALUGUEL,4.0,CONSOLIDAÇÃO DE DÍVIDAS,A,7000,6.03,0,0.12,N,3
24,51072,HIPOTECA,8.0,EDUCAÇÃO,B,13000,10.95,0,0.25,N,2
25,54000,ALUGUEL,1.0,CONSOLIDAÇÃO DE DÍVIDAS,F,7000,20.89,1,0.13,N,3
22,51168,HIPOTECA,6.0,RISCO,B,15500,10.99,0,0.3,N,3
24,54000,ALUGUEL,0.0,CONSOLIDAÇÃO DE DÍVIDAS,D,7000,15.99,1,0.13,Y,3
25,60000,ALUGUEL,3.0,RISCO,D,7000,15.62,0,0.12,N,4
25,60000,ALUGUEL,3.0,MELHORIA DE CASA,A,7000,6.92,0,0.12,N,2
23,60000,ALUGUEL,4.0,CONSOLIDAÇÃO DE DÍVIDAS,A,7000,5.79,0,0.12,N,3
26,60000,ALUGUEL,3.0,MÉDICO,A,7000,6.91,0,0.12,N,2
25,51300,HIPOTECA,7.0,RISCO,A,11000,5.99,0,0.21,N,3
25,60000,ALUGUEL,0.0,MÉDICO,B,7000,9.25,0,0.12,N,2
24,60000,ALUGUEL,5.0,EDUCAÇÃO,A,7000,6.54,0,0.12,N,4
22,51300,PRÓPRIO,6.0,PERSONAL,D,11200,15.31,0,0.22,Y,3
25,60000,ALUGUEL,9.0,MÉDICO,B,7000,10.36,0,0.12,N,4
23,51319,HIPOTECA,2.0,RISCO,B,20000,10.37,0,0.39,N,3
22,60000,ALUGUEL,3.0,EDUCAÇÃO,A,7000,6.91,0,0.12,N,2
22,60000,ALUGUEL,5.0,MÉDICO,B,7000,9.99,0,0.12,N,4
22,54000,ALUGUEL,6.0,MÉDICO,D,7000,14.96,1,0.13,Y,4
24,60000,ALUGUEL,0.0,RISCO,A,7000,7.88,0,0.12,N,3
22,54000,ALUGUEL,2.0,PERSONAL,D,7000,14.96,1,0.13,N,3
24,60000,ALUGUEL,0.0,EDUCAÇÃO,A,7000,9.32,0,0.12,N,3
24,60140,ALUGUEL,2.0,RISCO,A,7000,8.59,0,0.12,N,3
24,51480,HIPOTECA,7.0,MÉDICO,A,12000,7.88,0,0.23,N,2
22,51480,HIPOTECA,4.0,MÉDICO,B,3000,11.83,0,0.06,N,2
23,45480,HIPOTECA,7.0,CONSOLIDAÇÃO DE DÍVIDAS,C,4400,13.16,1,0.1,N,3
25,51492,HIPOTECA,2.0,EDUCAÇÃO,B,13800,10.38,0,0.27,N,4
22,60500,ALUGUEL,3.0,CONSOLIDAÇÃO DE DÍVIDAS,C,7000,12.84,0,0.12,N,2
26,51500,PRÓPRIO,10.0,MELHORIA DE CASA,A,15000,6.92,0,0.29,N,2
24,51500,HIPOTECA,2.0,RISCO,A,6300,5.79,0,0.12,N,3
23,62000,ALUGUEL,5.0,PERSONAL,B,7000,9.91,0,0.11,N,4
26,51500,HIPOTECA,7.0,RISCO,B,11000,,0,0.21,N,3
26,51500,HIPOTECA,3.0,MELHORIA DE CASA,D,9600,15.21,0,0.19,Y,4
24,51500,HIPOTECA,6.0,MÉDICO,A,4000,7.51,0,0.08,N,2
22,51500,HIPOTECA,6.0,EDUCAÇÃO,B,7500,9.88,0,0.15,N,3
25,62000,ALUGUEL,9.0,CONSOLIDAÇÃO DE DÍVIDAS,A,7000,7.49,0,0.11,N,4
23,62100,ALUGUEL,3.0,MÉDICO,B,7000,,0,0.11,N,2
23,51600,HIPOTECA,4.0,EDUCAÇÃO,B,7200,10.65,0,0.14,N,3
26,63000,ALUGUEL,4.0,RISCO,D,7000,14.84,0,0.11,N,2
22,64000,ALUGUEL,6.0,EDUCAÇÃO,A,7000,5.79,0,0.11,N,3
22,51600,HIPOTECA,6.0,EDUCAÇÃO,B,4200,10.59,0,0.08,N,3
23,51600,HIPOTECA,1.0,CONSOLIDAÇÃO DE DÍVIDAS,B,5000,10.59,0,0.1,N,3
23,64600,ALUGUEL,7.0,MÉDICO,B,7000,11.86,0,0.11,N,3
25,64800,ALUGUEL,1.0,PERSONAL,C,7000,12.73,0,0.11,N,2
22,65000,ALUGUEL,4.0,EDUCAÇÃO,C,7000,14.27,0,0.11,Y,4
22,51600,HIPOTECA,2.0,RISCO,C,7000,12.98,0,0.14,Y,2
22,65000,ALUGUEL,7.0,EDUCAÇÃO,D,7000,15.99,0,0.11,N,3
25,51600,PRÓPRIO,2.0,RISCO,D,6000,,0,0.12,N,4
22,65000,ALUGUEL,0.0,CONSOLIDAÇÃO DE DÍVIDAS,C,7000,12.99,0,0.11,N,2
26,51600,PRÓPRIO,10.0,MELHORIA DE CASA,B,15000,9.88,0,0.29,N,3
24,51600,PRÓPRIO,8.0,RISCO,C,20000,12.87,0,0.39,N,4
26,65000,ALUGUEL,3.0,EDUCAÇÃO,A,7000,,0,0.11,N,2
23,65000,ALUGUEL,7.0,EDUCAÇÃO,B,7000,10.75,0,0.11,N,4
25,51669,HIPOTECA,2.0,MELHORIA DE CASA,B,12000,10.37,0,0.23,N,4
25,51684,HIPOTECA,9.0,PERSONAL,D,4000,15.99,0,0.08,N,4
26,51700,PRÓPRIO,2.0,MELHORIA DE CASA,A,13200,7.51,0,0.26,N,4
22,51800,HIPOTECA,4.0,EDUCAÇÃO,B,7200,11.71,0,0.14,N,3
21,51800,HIPOTECA,1.0,RISCO,B,5000,9.99,0,0.1,N,3
24,65000,ALUGUEL,0.0,CONSOLIDAÇÃO DE DÍVIDAS,B,7000,11.83,0,0.11,N,2
23,51852,HIPOTECA,0.0,MÉDICO,A,10000,8.59,0,0.19,N,2
23,65000,ALUGUEL,0.0,RISCO,B,7000,10.71,0,0.11,N,2
21,65000,ALUGUEL,0.0,RISCO,A,7000,,0,0.11,N,4
22,51900,HIPOTECA,5.0,RISCO,B,14100,11.49,0,0.27,N,2
23,66000,ALUGUEL,2.0,EDUCAÇÃO,A,7000,7.66,0,0.11,N,3
24,51992,HIPOTECA,9.0,PERSONAL,C,15000,13.98,0,0.29,N,3
22,66000,ALUGUEL,0.0,EDUCAÇÃO,B,7000,9.99,0,0.11,N,4
24,51996,HIPOTECA,3.0,PERSONAL,A,7000,7.49,0,0.13,N,3
24,66000,ALUGUEL,2.0,RISCO,B,7000,11.49,0,0.11,N,3
24,60000,ALUGUEL,8.0,EDUCAÇÃO,A,7000,7.51,1,0.12,N,4
21,51996,HIPOTECA,1.0,EDUCAÇÃO,A,18000,8.49,0,0.35,N,2
26,51996,HIPOTECA,8.0,CONSOLIDAÇÃO DE DÍVIDAS,A,18000,8.49,0,0.35,N,3
23,51996,HIPOTECA,3.0,PERSONAL,A,5000,6.92,0,0.1,N,3
24,51996,HIPOTECA,0.0,PERSONAL,B,12000,10.74,0,0.23,N,3
25,67000,ALUGUEL,3.0,EDUCAÇÃO,A,7000,8.94,0,0.1,N,4
25,45996,HIPOTECA,9.0,MELHORIA DE CASA,C,11000,12.68,1,0.24,N,2
26,67550,ALUGUEL,3.0,MÉDICO,A,7000,8.9,0,0.1,N,2
23,67752,ALUGUEL,3.0,EDUCAÇÃO,A,7000,6.62,0,0.1,N,4
22,51996,PRÓPRIO,6.0,RISCO,C,8400,12.98,0,0.16,Y,4
23,68700,ALUGUEL,2.0,RISCO,C,7000,12.53,0,0.1,N,4
25,69500,ALUGUEL,7.0,MÉDICO,C,7000,10.78,0,0.1,Y,3
22,54400,ALUGUEL,2.0,MÉDICO,E,7000,,1,0.11,Y,2
25,51996,HIPOTECA,6.0,RISCO,C,7000,,0,0.13,N,3
25,70000,ALUGUEL,2.0,MÉDICO,C,7000,13.79,0,0.1,Y,3
22,51996,HIPOTECA,6.0,PERSONAL,A,6000,7.88,0,0.12,N,4
25,70356,ALUGUEL,8.0,MELHORIA DE CASA,A,7000,7.29,0,0.1,N,4
22,51996,PRÓPRIO,7.0,RISCO,B,6000,10.75,0,0.12,N,2
22,51996,HIPOTECA,6.0,EDUCAÇÃO,A,9600,7.14,0,0.18,N,4
23,72000,ALUGUEL,0.0,MÉDICO,A,7000,7.9,0,0.1,N,2
23,72000,ALUGUEL,7.0,EDUCAÇÃO,C,7000,13.11,0,0.1,Y,4
26,72000,ALUGUEL,8.0,PERSONAL,A,7000,9.32,0,0.1,N,2
23,66348,ALUGUEL,0.0,RISCO,E,7000,17.04,1,0.11,N,4
21,45996,HIPOTECA,2.0,EDUCAÇÃO,C,17000,13.16,1,0.37,Y,4
25,72700,ALUGUEL,4.0,MELHORIA DE CASA,D,7000,14.84,0,0.1,Y,2
26,51996,HIPOTECA,10.0,PERSONAL,B,1500,9.7,0,0.03,N,3
23,75000,ALUGUEL,2.0,PERSONAL,B,7000,6.0,0,0.09,N,3
26,75000,ALUGUEL,0.0,CONSOLIDAÇÃO DE DÍVIDAS,A,7000,8.9,0,0.09,N,4
25,75000,ALUGUEL,4.0,MÉDICO,A,7000,7.49,0,0.09,N,2
24,75000,ALUGUEL,2.0,MELHORIA DE CASA,B,7000,10.74,0,0.09,N,3
23,46000,HIPOTECA,5.0,PERSONAL,B,9500,12.69,1,0.21,N,4
22,75000,ALUGUEL,5.0,EDUCAÇÃO,B,7000,10.99,0,0.09,N,2
22,52000,HIPOTECA,6.0,RISCO,A,12000,6.62,0,0.23,N,3
23,75800,ALUGUEL,0.0,PERSONAL,A,7000,6.54,0,0.09,N,2
22,76000,ALUGUEL,6.0,EDUCAÇÃO,B,7000,11.12,0,0.09,N,2
22,52000,HIPOTECA,5.0,EDUCAÇÃO,A,6000,7.9,0,0.12,N,4
24,78300,ALUGUEL,2.0,RISCO,A,7000,6.03,0,0.09,N,3
24,52000,HIPOTECA,2.0,EDUCAÇÃO,B,18000,11.71,0,0.35,N,3
24,79000,ALUGUEL,3.0,PERSONAL,C,7000,12.54,0,0.09,N,3
22,80000,ALUGUEL,4.0,CONSOLIDAÇÃO DE DÍVIDAS,A,7000,6.62,0,0.09,N,3
23,74000,ALUGUEL,7.0,MELHORIA DE CASA,A,7000,6.03,1,0.09,N,3
22,80000,ALUGUEL,4.0,PERSONAL,A,7000,7.51,0,0.09,N,2
23,80000,ALUGUEL,1.0,RISCO,A,7000,7.14,0,0.09,N,2
26,80400,ALUGUEL,6.0,RISCO,B,7000,10.65,0,0.09,N,2
23,52000,HIPOTECA,5.0,EDUCAÇÃO,B,12800,10.65,0,0.25,N,2
23,52000,PRÓPRIO,7.0,EDUCAÇÃO,A,6000,,0,0.12,N,3
24,82000,ALUGUEL,8.0,EDUCAÇÃO,B,7000,10.0,0,0.09,N,4
25,52000,HIPOTECA,8.0,MELHORIA DE CASA,B,14500,10.65,0,0.28,N,4
23,76000,ALUGUEL,0.0,PERSONAL,D,7000,14.96,1,0.09,N,4
23,52000,HIPOTECA,7.0,EDUCAÇÃO,A,22000,7.51,0,0.42,N,2
26,83000,ALUGUEL,6.0,MÉDICO,C,7000,13.49,0,0.08,Y,3
23,52000,HIPOTECA,7.0,EDUCAÇÃO,A,8400,8.9,0,0.16,N,2
21,52000,PRÓPRIO,1.0,EDUCAÇÃO,B,13200,12.42,0,0.25,N,2
26,52000,HIPOTECA,2.0,EDUCAÇÃO,A,6000,8.9,0,0.12,N,4
26,52000,PRÓPRIO,10.0,PERSONAL,A,10000,8.9,0,0.19,N,3
24,52000,HIPOTECA,9.0,RISCO,B,11300,,0,0.22,N,3
23,83236,ALUGUEL,6.0,EDUCAÇÃO,A,7000,6.92,0,0.08,N,2
21,52000,HIPOTECA,5.0,CONSOLIDAÇÃO DE DÍVIDAS,A,5000,7.9,0,0.1,N,3
25,66300,ALUGUEL,3.0,MÉDICO,B,7000,9.25,1,0.09,N,3
21,52000,HIPOTECA,4.0,PERSONAL,D,2000,15.62,0,0.04,N,4
25,52000,HIPOTECA,8.0,EDUCAÇÃO,C,3900,,0,0.07,N,4
21,52000,HIPOTECA,5.0,CONSOLIDAÇÃO DE DÍVIDAS,A,13250,5.99,0,0.25,N,2
26,52000,HIPOTECA,6.0,PERSONAL,B,3300,10.99,0,0.06,N,2
26,85000,ALUGUEL,10.0,EDUCAÇÃO,B,7000,12.42,0,0.08,N,4
24,27311,ALUGUEL,1.0,MÉDICO,C,6250,12.87,0,0.23,Y,4
25,52000,HIPOTECA,3.0,PERSONAL,A,6000,8.49,0,0.12,N,3
22,28500,ALUGUEL,2.0,MELHORIA DE CASA,D,6250,14.84,1,0.22,N,4
24,29000,ALUGUEL,0.0,CONSOLIDAÇÃO DE DÍVIDAS,B,6250,10.99,0,0.22,N,2
22,29100,ALUGUEL,2.0,PERSONAL,D,6250,16.07,1,0.21,Y,3
25,29120,ALUGUEL,1.0,RISCO,C,6250,15.96,0,0.21,Y,3
26,46000,HIPOTECA,8.0,MELHORIA DE CASA,B,7000,9.99,1,0.15,N,3
24,46000,HIPOTECA,,MÉDICO,D,10000,15.99,1,0.22,N,3
25,46000,HIPOTECA,5.0,MÉDICO,B,6000,10.99,1,0.13,N,3
23,38400,ALUGUEL,3.0,CONSOLIDAÇÃO DE DÍVIDAS,A,6250,8.9,0,0.16,N,4
26,52000,PRÓPRIO,10.0,RISCO,A,8000,8.49,0,0.15,N,3
23,54000,ALUGUEL,3.0,CONSOLIDAÇÃO DE DÍVIDAS,A,6250,6.99,0,0.12,N,3
24,12624,ALUGUEL,,RISCO,C,6300,13.85,1,0.5,N,3
21,30000,ALUGUEL,2.0,CONSOLIDAÇÃO DE DÍVIDAS,B,6300,11.71,0,0.21,N,3
24,90000,ALUGUEL,0.0,MÉDICO,C,7000,13.99,0,0.08,N,4
22,90000,ALUGUEL,2.0,PERSONAL,B,7000,8.88,0,0.08,N,3
24,46000,HIPOTECA,8.0,PERSONAL,C,29100,12.99,1,0.63,Y,2
22,52000,HIPOTECA,0.0,EDUCAÇÃO,C,20000,13.99,0,0.38,Y,3
22,52000,HIPOTECA,6.0,RISCO,C,2650,12.99,0,0.05,Y,3
25,90000,ALUGUEL,3.0,PERSONAL,C,7000,13.16,0,0.08,N,2
25,95000,ALUGUEL,1.0,CONSOLIDAÇÃO DE DÍVIDAS,A,7000,6.99,0,0.07,N,2
22,70550,ALUGUEL,0.0,MÉDICO,E,7000,15.88,1,0.08,N,3
24,96000,ALUGUEL,6.0,CONSOLIDAÇÃO DE DÍVIDAS,B,7000,9.91,0,0.07,N,2
26,97000,ALUGUEL,2.0,CONSOLIDAÇÃO DE DÍVIDAS,A,7000,7.91,0,0.07,N,4
26,99100,ALUGUEL,2.0,PERSONAL,A,7000,7.49,0,0.07,N,3
26,100840,ALUGUEL,10.0,CONSOLIDAÇÃO DE DÍVIDAS,B,7000,9.99,0,0.07,N,3
24,52000,HIPOTECA,6.0,RISCO,A,9000,5.79,0,0.17,N,2
22,105000,ALUGUEL,6.0,MÉDICO,A,7000,7.74,0,0.07,N,3
24,110000,ALUGUEL,1.0,MÉDICO,A,7000,7.51,0,0.06,N,2
24,52000,HIPOTECA,8.0,EDUCAÇÃO,A,3000,7.66,0,0.06,N,4
24,52000,HIPOTECA,8.0,MELHORIA DE CASA,B,15000,10.0,0,0.29,N,2
23,111000,ALUGUEL,7.0,EDUCAÇÃO,A,7000,8.0,0,0.06,N,3
24,52000,HIPOTECA,8.0,MÉDICO,A,14500,7.29,0,0.28,N,4
22,115200,ALUGUEL,0.0,CONSOLIDAÇÃO DE DÍVIDAS,A,7000,7.66,0,0.06,N,2
25,52000,HIPOTECA,9.0,CONSOLIDAÇÃO DE DÍVIDAS,B,8500,10.74,0,0.16,N,3
22,52000,HIPOTECA,6.0,EDUCAÇÃO,C,9750,13.06,0,0.19,N,3
26,52000,PRÓPRIO,10.0,EDUCAÇÃO,D,5000,15.65,0,0.1,Y,4
24,118000,ALUGUEL,5.0,MELHORIA DE CASA,A,7000,8.49,0,0.06,N,2
26,52000,HIPOTECA,7.0,RISCO,B,6500,10.74,0,0.13,N,2
23,120000,ALUGUEL,1.0,PERSONAL,B,7000,10.75,0,0.06,N,2
25,52000,HIPOTECA,7.0,MÉDICO,A,6000,7.66,0,0.12,N,2
25,52000,HIPOTECA,9.0,MELHORIA DE CASA,A,24500,6.17,0,0.47,N,3
26,150000,ALUGUEL,3.0,MÉDICO,B,7000,9.63,0,0.05,N,4
22,28000,ALUGUEL,0.0,EDUCAÇÃO,C,6975,12.29,0,0.25,N,4
26,52000,HIPOTECA,10.0,MELHORIA DE CASA,B,10750,9.62,0,0.21,N,2
24,25000,ALUGUEL,0.0,MÉDICO,D,6950,14.42,1,0.28,Y,3
23,30000,ALUGUEL,0.0,EDUCAÇÃO,C,6300,14.35,0,0.21,N,4
24,52000,PRÓPRIO,4.0,CONSOLIDAÇÃO DE DÍVIDAS,D,7000,14.09,0,0.13,Y,4
22,30000,ALUGUEL,0.0,RISCO,C,6300,13.22,0,0.21,Y,3
26,37000,ALUGUEL,10.0,PERSONAL,B,6300,10.99,0,0.17,N,3
21,42504,ALUGUEL,0.0,EDUCAÇÃO,A,6300,6.99,0,0.15,N,3
24,46000,HIPOTECA,6.0,CONSOLIDAÇÃO DE DÍVIDAS,D,12000,14.83,1,0.26,Y,3
22,50724,ALUGUEL,7.0,EDUCAÇÃO,C,6300,15.96,0,0.12,Y,4
24,52000,HIPOTECA,0.0,EDUCAÇÃO,C,1200,13.98,0,0.02,Y,2
24,46000,HIPOTECA,9.0,EDUCAÇÃO,A,12000,7.88,1,0.26,N,4
25,52000,HIPOTECA,5.0,MELHORIA DE CASA,A,12000,7.88,0,0.23,N,3
22,52000,HIPOTECA,5.0,RISCO,C,3000,14.35,0,0.06,N,2
25,54503,ALUGUEL,9.0,EDUCAÇÃO,A,6300,7.51,0,0.12,N,2
24,58650,ALUGUEL,6.0,MÉDICO,D,6300,14.91,1,0.09,Y,2
25,84000,ALUGUEL,5.0,RISCO,A,6300,7.88,0,0.07,N,3
25,25000,ALUGUEL,3.0,MÉDICO,A,6325,8.9,0,0.25,N,4
26,55000,ALUGUEL,5.0,PERSONAL,B,6325,10.65,0,0.12,N,4
22,60200,ALUGUEL,2.0,CONSOLIDAÇÃO DE DÍVIDAS,A,6325,7.51,0,0.11,N,3
23,74415,ALUGUEL,1.0,PERSONAL,D,6350,12.92,1,0.09,Y,3
26,32000,ALUGUEL,7.0,CONSOLIDAÇÃO DE DÍVIDAS,B,6375,10.74,0,0.2,N,2
25,44000,ALUGUEL,4.0,EDUCAÇÃO,A,6375,,0,0.14,N,2
23,52000,PRÓPRIO,2.0,EDUCAÇÃO,B,6000,10.75,0,0.12,N,4
24,52000,HIPOTECA,2.0,MÉDICO,A,4800,,0,0.09,N,2
25,18000,ALUGUEL,2.0,MÉDICO,A,6500,,1,0.36,N,3
22,20000,ALUGUEL,1.0,CONSOLIDAÇÃO DE DÍVIDAS,B,6500,10.99,1,0.33,N,2
24,52000,HIPOTECA,8.0,EDUCAÇÃO,C,12000,13.85,0,0.23,Y,4
21,21000,ALUGUEL,6.0,EDUCAÇÃO,B,6500,11.89,1,0.31,N,4
22,52000,HIPOTECA,2.0,MÉDICO,B,18000,9.88,0,0.35,N,4
24,21600,ALUGUEL,,RISCO,C,6500,14.79,1,0.3,Y,4
24,52000,HIPOTECA,7.0,MÉDICO,C,5000,14.22,0,0.1,N,2
26,52000,HIPOTECA,2.0,MELHORIA DE CASA,B,10000,9.88,0,0.19,N,4
26,52000,HIPOTECA,6.0,PERSONAL,A,6500,6.76,0,0.13,N,4
24,52000,PRÓPRIO,8.0,EDUCAÇÃO,B,4000,10.62,0,0.08,N,4
26,52000,HIPOTECA,3.0,MELHORIA DE CASA,D,2500,14.59,0,0.05,N,4
24,24000,ALUGUEL,0.0,EDUCAÇÃO,B,6500,11.36,0,0.27,N,2
22,52000,HIPOTECA,5.0,RISCO,A,3900,7.51,0,0.07,N,3
